Make,proportion
EXTRA FLUGZEUGBAU GMBH,0.00011257965010244748
Taylor,0.00011257965010244748
"Rans, Inc.",0.00011257965010244748
LEARJET INC,0.00011257965010244748
Hall,0.00011257965010244748
Buckeye,0.00011257965010244748
MOONEY AIRPLANE CO INC,0.00011257965010244748
Aero Vodochody Aero. Works,0.00011257965010244748
Meyers Aircraft Co.,0.00011257965010244748
Steen,0.00011257965010244748
AIRBUS HELICOPTERS,0.00011257965010244748
American Aerolights,0.00011257965010244748
Cassutt,0.00011257965010244748
Avid Aircraft,0.00011257965010244748
Eurocopter Deutschland,0.00011257965010244748
Aircraft Mfg & Dev. Co. (amd),0.00011257965010244748
Experimental,0.00010132168509220274
EMBRAER S A,0.00010132168509220274
WEATHERLY AVIATION CO INC,0.00010132168509220274
FLIGHT DESIGN,0.00010132168509220274
Gardner,0.00010132168509220274
Grob,0.00010132168509220274
THE BOEING COMPANY,0.00010132168509220274
ULTRAMAGIC,0.00010132168509220274
Titan,0.00010132168509220274
de Havilland,0.00010132168509220274
EVOLUTION AIRCRAFT INC,0.00010132168509220274
Maxair,0.00010132168509220274
Reims Aviation,0.00010132168509220274
Morrisey,0.00010132168509220274
Hiller-soloy,0.00010132168509220274
Lindstrand Balloons,0.00010132168509220274
Clark,0.00010132168509220274
CESSNA AIRCRAFT,0.00010132168509220274
CESSNA AIRCRAFT COMPANY,0.00010132168509220274
Robinson Helicopter,0.00010132168509220274
GULFSTREAM-SCHWEIZER A/C CORP,0.00010132168509220274
Wilson,0.00010132168509220274
Burkhart Grob Flugzeugbau,0.00010132168509220274
Monnett,0.00010132168509220274
Nord (sncan),0.00010132168509220274
Monocoupe Aircraft,0.00010132168509220274
JABIRU USA SPORT AIRCRAFT LLC,0.00010132168509220274
LINDSTRAND BALLOONS,0.00010132168509220274
GULFSTREAM AMERICAN CORP,0.00010132168509220274
BUCKEYE,9.006372008195799e-05
B??lkow,9.006372008195799e-05
REPUBLIC,9.006372008195799e-05
Weber,9.006372008195799e-05
AEROTEK,9.006372008195799e-05
JABIRU,9.006372008195799e-05
DIAMOND AIRCRAFT IND GMBH,9.006372008195799e-05
Breezy,9.006372008195799e-05
GARLICK HELICOPTERS INC,9.006372008195799e-05
GATES LEARJET CORP.,9.006372008195799e-05
FOKKER,9.006372008195799e-05
Avian Balloon,9.006372008195799e-05
Martin,9.006372008195799e-05
Lewis,9.006372008195799e-05
Porterfield,9.006372008195799e-05
