Longitude,proportion
1221336W,0.0001163704070054985
0865613W,0.0001163704070054985
0964028W,0.0001163704070054985
-97.676389,0.0001163704070054985
1222416W,0.0001163704070054985
-149.971945,0.0001163704070054985
-108.761111,0.0001163704070054985
-119.056944,0.0001163704070054985
0116724W,0.0001163704070054985
-156.649166,0.0001163704070054985
-117.636389,0.0001163704070054985
-74.807222,0.0001163704070054985
-82.271667,0.0001163704070054985
0105252W,0.0001163704070054985
0804038W,0.0001163704070054985
0011667W,0.0001163704070054985
-85.551944,0.0001163704070054985
-86.993611,0.0001163704070054985
-81.437222,0.0001163704070054985
0117172W,0.0001163704070054985
0123128W,0.0001163704070054985
1064442W,0.0001163704070054985
-81.339722,0.0001163704070054985
1141744W,0.0001163704070054985
0012190W,0.0001163704070054985
0894351W,0.0001163704070054985
-147.918611,0.0001163704070054985
1062751W,0.0001163704070054985
-86.3775,0.0001163704070054985
-83.418611,0.0001163704070054985
1592924W,0.0001163704070054985
0903030W,0.0001163704070054985
0761948W,0.0001163704070054985
0115290W,0.0001163704070054985
1495755W,0.0001163704070054985
0834249W,0.0001163704070054985
0081650W,0.0001163704070054985
1195234W,0.0001163704070054985
1191815W,0.0001163704070054985
-122.5975,0.0001163704070054985
1102128W,0.0001163704070054985
0084257W,0.0001163704070054985
0931318W,0.0001163704070054985
0102127W,0.0001163704070054985
1131822W,0.0001163704070054985
-80.221389,0.0001163704070054985
1182457W,0.0001163704070054985
-98.469723,0.0001163704070054985
0086155W,0.0001163704070054985
-105.034722,0.0001163704070054985
0883620W,0.0001163704070054985
0974222W,0.0001163704070054985
0118275W,0.0001163704070054985
0112028W,0.0001163704070054985
0812033W,0.0001163704070054985
0084359W,0.0001163704070054985
0090611W,0.0001163704070054985
-122.266667,0.0001163704070054985
0118274W,0.0001163704070054985
0122933W,0.0001163704070054985
0721615W,0.0001163704070054985
0803719W,0.0001163704070054985
0011666W,0.0001163704070054985
0982811W,0.0001163704070054985
1202727W,0.0001163704070054985
-88.248611,0.0001163704070054985
-89.666667,0.0001163704070054985
0862430W,0.0001163704070054985
1213411W,0.0001163704070054985
0953923W,0.0001163704070054985
1575513W,0.0001163704070054985
-74.264444,0.0001163704070054985
0815014W,0.0001163704070054985
1065849W,0.0001163704070054985
0106228W,0.0001163704070054985
0121106W,0.0001163704070054985
0087546W,0.0001163704070054985
0111461W,0.0001163704070054985
0723650W,0.0001163704070054985
-120.177778,0.0001163704070054985
-76.448611,0.0001163704070054985
0117813W,0.0001163704070054985
0773054W,0.0001163704070054985
0842347W,0.0001163704070054985
1231722W,0.0001163704070054985
0835931W,0.0001163704070054985
0892015W,0.0001163704070054985
1174935W,0.0001163704070054985
1154730W,0.0001163704070054985
1221650W,0.0001163704070054985
0117153W,0.0001163704070054985
0994055W,0.0001163704070054985
1105052W,0.0001163704070054985
0925120W,0.0001163704070054985
