Accident.Number,proportion
MKC82DA044,1.1249985937517579e-05
MIA82DA071,1.1249985937517579e-05
LAX82FVD11,1.1249985937517579e-05
FTW82DA092,1.1249985937517579e-05
CHI82DA088,1.1249985937517579e-05
CHI82DA087,1.1249985937517579e-05
CHI82DA086,1.1249985937517579e-05
CHI82DA084,1.1249985937517579e-05
ATL82DA068,1.1249985937517579e-05
ANC82DA026,1.1249985937517579e-05
LAX82FXQ06,1.1249985937517579e-05
LAX82FXQ05,1.1249985937517579e-05
FTW82DA093,1.1249985937517579e-05
ATL82FKQ11,1.1249985937517579e-05
SEA82DA037,1.1249985937517579e-05
NYC82FNC05,1.1249985937517579e-05
DEN82FTC02,1.1249985937517579e-05
ATL82DA071,1.1249985937517579e-05
ATL82DA070,1.1249985937517579e-05
ATL82DA069,1.1249985937517579e-05
DEN82DA053,1.1249985937517579e-05
NYC82DA054,1.1249985937517579e-05
FTW82DA094,1.1249985937517579e-05
DEN82DA044,1.1249985937517579e-05
CHI82DA090,1.1249985937517579e-05
ANC82DAG17,1.1249985937517579e-05
LAX82FUJ32,1.1249985937517579e-05
LAX82FA109,1.1249985937517579e-05
FTW82IA095,1.1249985937517579e-05
SEA82DA038,1.1249985937517579e-05
MIA82DA074,1.1249985937517579e-05
MIA08CA076,1.1249985937517579e-05
DEN82DA046,1.1249985937517579e-05
ANC82DA027,1.1249985937517579e-05
MKC82DA045,1.1249985937517579e-05
LAX82FA110,1.1249985937517579e-05
FTW82FQG16,1.1249985937517579e-05
FTW82FPJ14,1.1249985937517579e-05
ATL82FA072,1.1249985937517579e-05
NYC82DA057,1.1249985937517579e-05
MIA82DA076,1.1249985937517579e-05
FTW82DA096,1.1249985937517579e-05
ATL82DA073,1.1249985937517579e-05
ATL82DA075,1.1249985937517579e-05
NYC82IA058,1.1249985937517579e-05
LAX82FA111,1.1249985937517579e-05
FTW82FRG26,1.1249985937517579e-05
CHI82FA091,1.1249985937517579e-05
ATL82FLJ06,1.1249985937517579e-05
SEA82DA039,1.1249985937517579e-05
MIA82DA089,1.1249985937517579e-05
DEN82DA045,1.1249985937517579e-05
CHI82DA092,1.1249985937517579e-05
ATL82DA074,1.1249985937517579e-05
NYC82DA056,1.1249985937517579e-05
MIA82FA078,1.1249985937517579e-05
LAX82FVG17,1.1249985937517579e-05
FTW82DA098,1.1249985937517579e-05
MIA82FA079,1.1249985937517579e-05
LAX82FA113,1.1249985937517579e-05
LAX82DVG16,1.1249985937517579e-05
FTW82IA146,1.1249985937517579e-05
ATL82IA076,1.1249985937517579e-05
ATL82FLT03,1.1249985937517579e-05
ATL82FA080,1.1249985937517579e-05
SEA82DA040,1.1249985937517579e-05
NYC82DA066,1.1249985937517579e-05
NYC82DA061,1.1249985937517579e-05
MKC82DA048,1.1249985937517579e-05
MKC82DA046,1.1249985937517579e-05
MIA82DA090,1.1249985937517579e-05
FTW82DA099,1.1249985937517579e-05
CHI82DA093,1.1249985937517579e-05
ATL82DA079,1.1249985937517579e-05
ATL82DA078,1.1249985937517579e-05
ATL82DA077,1.1249985937517579e-05
NYC82FA060,1.1249985937517579e-05
NYC82FA059,1.1249985937517579e-05
LAX82DVG19,1.1249985937517579e-05
LAX82DA114,1.1249985937517579e-05
SEA82DA077,1.1249985937517579e-05
SEA82DA041,1.1249985937517579e-05
NYC82DA025,1.1249985937517579e-05
LAX82DA123,1.1249985937517579e-05
CHI82DA094,1.1249985937517579e-05
LAX82FUQ12,1.1249985937517579e-05
LAX82FA117,1.1249985937517579e-05
MKC82DA049,1.1249985937517579e-05
LAX82DA116,1.1249985937517579e-05
LAX82DA115,1.1249985937517579e-05
FTW82DA100,1.1249985937517579e-05
ATL82DA082,1.1249985937517579e-05
FTW82DA101,1.1249985937517579e-05
CHI82FA096,1.1249985937517579e-05
CHI82DA099,1.1249985937517579e-05
ATL82FLA01,1.1249985937517579e-05
ATL82FA083,1.1249985937517579e-05
MIA82DA080,1.1249985937517579e-05
LAX82DA118,1.1249985937517579e-05
FTW82DA114,1.1249985937517579e-05
DEN82DA047,1.1249985937517579e-05
CHI82FA098,1.1249985937517579e-05
CHI82DA097,1.1249985937517579e-05
MKC82FCJ02,1.1249985937517579e-05
MIA82IA082,1.1249985937517579e-05
MIA82DA084,1.1249985937517579e-05
MIA82DA083,1.1249985937517579e-05
LAX82FA119,1.1249985937517579e-05
LAX82DA120,1.1249985937517579e-05
CHI82DA101,1.1249985937517579e-05
CHI82DA100,1.1249985937517579e-05
ATL82DA085,1.1249985937517579e-05
SEA82DYA06,1.1249985937517579e-05
NYC82FGT09,1.1249985937517579e-05
DEN82IA049,1.1249985937517579e-05
CHI82IA102,1.1249985937517579e-05
NYC82DA065,1.1249985937517579e-05
NYC82DA062,1.1249985937517579e-05
MKC82DA050,1.1249985937517579e-05
MIA82DA086,1.1249985937517579e-05
MIA82DA085,1.1249985937517579e-05
FTW82DA102,1.1249985937517579e-05
DEN82DA048,1.1249985937517579e-05
ATL82DA084,1.1249985937517579e-05
FTW82FRG27,1.1249985937517579e-05
FTW82FA103,1.1249985937517579e-05
