Latitude,proportion
29.179723,0.00017450991798033855
39.32,0.00017450991798033855
30.061667,0.00017450991798033855
32.733611,0.00017450991798033855
029320N,0.00017450991798033855
455633N,0.00017450991798033855
61.4,0.00017450991798033855
33.8175,0.00017450991798033855
294324N,0.00017450991798033855
61.394444,0.00017450991798033855
384455N,0.00017450991798033855
383944N,0.00017450991798033855
39.858611,0.00017450991798033855
39.122223,0.00017450991798033855
353845N,0.00017450991798033855
343917N,0.00017450991798033855
612458N,0.00017450991798033855
283053N,0.00017450991798033855
39.785277,0.00017450991798033855
61.214444,0.00017450991798033855
003400N,0.00017450991798033855
453740N,0.00017450991798033855
36.2,0.00017450991798033855
412039N,0.00017450991798033855
42.460278,0.00017450991798033855
039106N,0.00017450991798033855
335633N,0.00017450991798033855
60.766667,0.00017450991798033855
039846N,0.00017450991798033855
27.262778,0.00017450991798033855
281723N,0.00017450991798033855
032739N,0.00017450991798033855
60.476111,0.00017450991798033855
363956N,0.00017450991798033855
38.227778,0.00017450991798033855
030219N,0.00017450991798033855
034530N,0.00017450991798033855
032587N,0.00017450991798033855
243322N,0.00017450991798033855
621914N,0.00017450991798033855
401329N,0.00017450991798033855
42.703333,0.00017450991798033855
403032N,0.00017450991798033855
474628N,0.00017450991798033855
374641N,0.00017450991798033855
331037N,0.00017450991798033855
362519N,0.00017450991798033855
45.807778,0.00017450991798033855
363733N,0.00017450991798033855
40.788333,0.00017450991798033855
365336N,0.00017450991798033855
35.259444,0.00017450991798033855
036146N,0.00017450991798033855
32.215278,0.00017450991798033855
26.0725,0.00017450991798033855
035843N,0.00017450991798033855
028050N,0.00017450991798033855
40.6925,0.00017450991798033855
40.141666,0.00017450991798033855
324834N,0.00017450991798033855
31.9425,0.00017450991798033855
30.533056,0.00017450991798033855
44.827223,0.00017450991798033855
33.883333,0.00014542493165028213
44.627778,0.00014542493165028213
381341N,0.00014542493165028213
404133N,0.00014542493165028213
34.091666,0.00014542493165028213
033495N,0.00014542493165028213
002941N,0.00014542493165028213
33.526945,0.00014542493165028213
32.510556,0.00014542493165028213
37.861667,0.00014542493165028213
36.78,0.00014542493165028213
41.979723,0.00014542493165028213
003513N,0.00014542493165028213
40.079723,0.00014542493165028213
33.266667,0.00014542493165028213
26.593055,0.00014542493165028213
324856N,0.00014542493165028213
004339N,0.00014542493165028213
41.195833,0.00014542493165028213
028347N,0.00014542493165028213
644855N,0.00014542493165028213
335920N,0.00014542493165028213
275436N,0.00014542493165028213
43.733333,0.00014542493165028213
32.142222,0.00014542493165028213
391932N,0.00014542493165028213
413539N,0.00014542493165028213
433049N,0.00014542493165028213
613541N,0.00014542493165028213
331842N,0.00014542493165028213
40.916111,0.00014542493165028213
335858N,0.00014542493165028213
30.211944,0.00014542493165028213
39.046111,0.00014542493165028213
27.071389,0.00014542493165028213
422533N,0.00014542493165028213
323038N,0.00014542493165028213
039402N,0.00014542493165028213
39.858333,0.00014542493165028213
35.952222,0.00014542493165028213
435848N,0.00014542493165028213
413550N,0.00014542493165028213
042284N,0.00014542493165028213
34.426111,0.00014542493165028213
263512N,0.00014542493165028213
335620N,0.00014542493165028213
35.768334,0.00014542493165028213
31.806667,0.00014542493165028213
33.066667,0.00014542493165028213
381724N,0.00014542493165028213
425428N,0.00014542493165028213
395039N,0.00014542493165028213
38.909167,0.00014542493165028213
33.688055,0.00014542493165028213
404758N,0.00014542493165028213
343416N,0.00014542493165028213
040372N,0.00014542493165028213
43.5725,0.00014542493165028213
333812N,0.00014542493165028213
401647N,0.00014542493165028213
33.818056,0.00014542493165028213
481838N,0.00014542493165028213
