Model,proportion
500,0.0007207450702163362
NAVION,0.0007094834284942058
CHALLENGER II,0.0007094834284942058
PA32,0.0007094834284942058
100,0.0007094834284942058
180A,0.0007094834284942058
UH-1B,0.0007094834284942058
421,0.0006982217867720756
35A,0.0006982217867720756
182RG,0.0006982217867720756
L-13,0.0006869601450499454
PA-11,0.0006869601450499454
36,0.0006869601450499454
77,0.0006869601450499454
PA-38,0.0006756985033278152
1900D,0.0006756985033278152
C35,0.0006756985033278152
PA-31,0.0006644368616056849
212,0.0006644368616056849
S2R-T34,0.0006644368616056849
PA46,0.0006644368616056849
PA 18-150,0.0006644368616056849
PA-32,0.0006644368616056849
182D,0.0006644368616056849
757,0.0006644368616056849
402,0.0006531752198835546
AA-1,0.0006531752198835546
PA-18-135,0.0006531752198835546
PA-24,0.0006531752198835546
550,0.0006419135781614244
A-1B,0.0006419135781614244
A23,0.0006419135781614244
47D1,0.0006306519364392941
PA-25,0.0006306519364392941
B36TC,0.0006306519364392941
VARIEZE,0.0006306519364392941
210N,0.0006306519364392941
B75N1,0.0006193902947171639
182S,0.0006081286529950336
AA-1A,0.0006081286529950336
H35,0.0006081286529950336
172I,0.0006081286529950336
R66,0.0005968670112729033
B19,0.0005968670112729033
737-200,0.0005968670112729033
A-36,0.0005856053695507731
K35,0.0005856053695507731
C90,0.0005856053695507731
CL-600-2B19,0.0005856053695507731
AVID FLYER,0.0005743437278286429
G35,0.0005743437278286429
F-28C,0.0005743437278286429
AT-602,0.0005743437278286429
737-300,0.0005743437278286429
J3C,0.0005630820861065126
150D,0.0005630820861065126
PA-23,0.0005630820861065126
PA34,0.0005518204443843823
R22B,0.0005405588026622521
8,0.0005405588026622521
PA22,0.0005405588026622521
182T,0.0005405588026622521
280C,0.0005405588026622521
172C,0.0005292971609401219
17-30,0.0005292971609401219
441,0.0005292971609401219
T206H,0.0005292971609401219
414A,0.0005292971609401219
2T-1A-2,0.0005292971609401219
R-44,0.0005292971609401219
B200,0.0005292971609401219
E75,0.0005292971609401219
PA-18A,0.0005292971609401219
M20,0.0005292971609401219
MD-11,0.0005180355192179916
A188,0.0005180355192179916
FH-1100,0.0005180355192179916
M-18A,0.0005067738774958613
401,0.0005067738774958613
210D,0.0005067738774958613
A35,0.0005067738774958613
55,0.0005067738774958613
UPF-7,0.0005067738774958613
FIREFLY 7,0.0004955122357737311
F-28A,0.0004955122357737311
G164,0.0004955122357737311
AS350,0.00048425059405160086
PA-25-260,0.00048425059405160086
RV-8,0.00048425059405160086
415C,0.00048425059405160086
727-200,0.00048425059405160086
BC-12D,0.0004729889523294706
M20M,0.0004729889523294706
PA-31T,0.0004729889523294706
B35,0.0004729889523294706
269C-1,0.0004729889523294706
PA-16,0.0004729889523294706
205,0.0004729889523294706
T310R,0.0004729889523294706
7BCM,0.00046172731060734035
DHC-3,0.00046172731060734035
195A,0.00046172731060734035
404,0.00046172731060734035
P210,0.00046172731060734035
PA-14,0.00046172731060734035
525,0.00045046566888521007
1900C,0.00045046566888521007
95-C55,0.00045046566888521007
II,0.00045046566888521007
J35,0.00045046566888521007
OH-58A,0.00045046566888521007
DC-10-10,0.00045046566888521007
PA-23-150,0.00043920402716307984
140A,0.00043920402716307984
DW-1,0.00043920402716307984
60,0.00043920402716307984
V35A,0.00043920402716307984
7FC,0.00043920402716307984
A330,0.00043920402716307984
PA-31-310,0.00043920402716307984
M35,0.00043920402716307984
SA226TC,0.00043920402716307984
AT502,0.00043920402716307984
PA32R,0.00043920402716307984
SKYBOLT,0.00042794238544094956
M-4-220C,0.00042794238544094956
114,0.00042794238544094956
A75N1(PT17),0.00042794238544094956
152II,0.00042794238544094956
PA-18A-150,0.00042794238544094956
TBM 700,0.00042794238544094956
CTSW,0.00042794238544094956
PA24,0.00042794238544094956
H-295,0.00042794238544094956
A23-24,0.00041668074371881933
560,0.00041668074371881933
8F,0.00041668074371881933
AT-802A,0.00041668074371881933
206L,0.00041668074371881933
T182T,0.00041668074371881933
RV4,0.00041668074371881933
PA 12,0.00041668074371881933
PA 46-350P,0.00041668074371881933
177A,0.00041668074371881933
47G-5,0.00040541910199668905
337,0.00040541910199668905
210A,0.00040541910199668905
AA-1C,0.00040541910199668905
P35,0.00040541910199668905
AT301,0.00040541910199668905
M20R,0.00040541910199668905
412,0.00040541910199668905
MD-82,0.00040541910199668905
DC-9-82,0.00040541910199668905
OH-6A,0.00040541910199668905
PA25,0.00040541910199668905
T303,0.00040541910199668905
S-2B,0.0003941574602745588
PA-34,0.0003941574602745588
RV6,0.0003941574602745588
320,0.0003941574602745588
95,0.0003941574602745588
185E,0.0003941574602745588
DC-9-31,0.0003941574602745588
B23,0.0003941574602745588
15AC,0.0003941574602745588
LA-4,0.0003941574602745588
PA 28-140,0.0003941574602745588
B-2B,0.0003828958185524286
180B,0.0003828958185524286
SA227-AC,0.0003828958185524286
737-800,0.0003828958185524286
601P,0.0003828958185524286
PA 28-180,0.0003828958185524286
PA-36-285,0.0003828958185524286
DC-9-32,0.0003828958185524286
J3,0.0003828958185524286
47G2,0.0003828958185524286
95-A55,0.0003828958185524286
C-23,0.0003828958185524286
CTLS,0.0003716341768302983
T207A,0.0003716341768302983
SR-22,0.0003716341768302983
KITFOX,0.0003716341768302983
A,0.0003716341768302983
PA28-140,0.0003716341768302983
175A,0.0003716341768302983
M20A,0.0003603725351081681
F35,0.0003603725351081681
310C,0.0003603725351081681
SEAREY,0.0003603725351081681
150C,0.0003603725351081681
DC-10-30,0.0003603725351081681
DC-3,0.0003603725351081681
THORP T-18,0.0003603725351081681
210E,0.0003603725351081681
112,0.0003603725351081681
35-B33,0.0003491108933860378
R-22 BETA,0.0003491108933860378
425,0.0003491108933860378
PA-28R,0.0003491108933860378
MU-2B-60,0.0003491108933860378
501,0.0003491108933860378
G164B,0.0003491108933860378
206B III,0.0003491108933860378
T337G,0.0003491108933860378
210B,0.0003491108933860378
PA-32R,0.0003491108933860378
PA-18-160,0.0003491108933860378
310J,0.0003378492516639076
J5A,0.0003378492516639076
99,0.0003378492516639076
PA-31-325,0.0003378492516639076
BE-58,0.0003378492516639076
DA 40,0.0003378492516639076
ASW-20,0.0003378492516639076
737-400,0.0003378492516639076
M-5-210C,0.0003378492516639076
A152,0.0003378492516639076
N35,0.0003378492516639076
201B,0.0003378492516639076
A24R,0.0003378492516639076
CC11-160,0.0003265876099417773
206B3,0.0003265876099417773
PA23,0.0003265876099417773
PA31,0.0003265876099417773
310N,0.0003265876099417773
QUICKIE,0.0003265876099417773
A75,0.0003265876099417773
310K,0.0003265876099417773
690A,0.0003265876099417773
DRAGONFLY,0.0003265876099417773
PA 28-181,0.0003265876099417773
VARI-EZE,0.0003265876099417773
AA5,0.0003265876099417773
PA-31P,0.0003265876099417773
D18S,0.0003265876099417773
PA-60-601P,0.0003265876099417773
LONG EZ,0.0003265876099417773
LONG-EZ,0.0003265876099417773
47G-4A,0.0003265876099417773
AS 350 B2,0.0003265876099417773
747-400,0.0003265876099417773
112A,0.0003265876099417773
AEROSTAR 601P,0.0003265876099417773
PA 18,0.0003265876099417773
PA-36-300,0.0003265876099417773
MUSTANG II,0.00031532596821964707
S-76A,0.00031532596821964707
SONEX,0.00031532596821964707
T-18,0.00031532596821964707
310L,0.00031532596821964707
ST3KR,0.00031532596821964707
AA5B,0.00031532596821964707
SNJ-5,0.00031532596821964707
35-C33,0.00031532596821964707
M-7-235,0.00031532596821964707
620B,0.00031532596821964707
C-45H,0.00031532596821964707
DA 20-C1,0.0003040643264975168
B24R,0.0003040643264975168
PA28-151,0.0003040643264975168
AEROSTAR 600,0.0003040643264975168
727,0.0003040643264975168
AT-400,0.0003040643264975168
195B,0.0003040643264975168
M-6-235,0.0003040643264975168
Challenger II,0.0003040643264975168
TU206,0.0003040643264975168
210K,0.0003040643264975168
369FF,0.00029280268477538656
CHRISTEN EAGLE II,0.00029280268477538656
F-28F,0.00029280268477538656
MD-88,0.00029280268477538656
SONERAI II,0.00029280268477538656
2150A,0.00029280268477538656
D35,0.00029280268477538656
AT-6D,0.00029280268477538656
188A,0.00029280268477538656
172 M,0.00029280268477538656
TU206F,0.00029280268477538656
47G-2A,0.00029280268477538656
P206,0.00029280268477538656
R172E,0.00029280268477538656
A23A,0.00029280268477538656
206G,0.00029280268477538656
787,0.00029280268477538656
RC-3,0.00029280268477538656
M-5,0.00029280268477538656
STEEN SKYBOLT,0.00029280268477538656
S-60A,0.00029280268477538656
Q2,0.0002815410430532563
337G,0.0002815410430532563
AT 602,0.0002815410430532563
G18S,0.0002815410430532563
PITTS S-2B,0.0002815410430532563
AS 350 B3,0.0002815410430532563
411,0.0002815410430532563
DC-3C,0.0002815410430532563
A2,0.0002815410430532563
65-A90,0.0002815410430532563
T-6G,0.0002815410430532563
206B-III,0.0002815410430532563
P-51D,0.0002815410430532563
172XP,0.0002815410430532563
560XL,0.0002815410430532563
A150L,0.0002815410430532563
65,0.0002815410430532563
305,0.0002815410430532563
DHC-6-300,0.0002815410430532563
OH-58C,0.00027027940133112605
MD-83,0.00027027940133112605
GLASTAR,0.00027027940133112605
162,0.00027027940133112605
DC-9-51,0.00027027940133112605
PA 28,0.00027027940133112605
757-232,0.00027027940133112605
M20B,0.00027027940133112605
B90,0.00027027940133112605
D55,0.00027027940133112605
PA-36-375,0.00027027940133112605
7GCB,0.00027027940133112605
G164A,0.00027027940133112605
AS350BA,0.00027027940133112605
RV6A,0.00027027940133112605
T210F,0.0002590177596089958
S2R-600,0.0002590177596089958
PA-32-301T,0.0002590177596089958
A150M,0.0002590177596089958
PA-46-500TP,0.0002590177596089958
PA-36,0.0002590177596089958
B-60,0.0002590177596089958
DHC-6,0.0002590177596089958
206-L4,0.0002590177596089958
SPORTSTAR,0.0002590177596089958
C-152,0.0002590177596089958
NAVION A,0.0002590177596089958
310D,0.0002590177596089958
PA38,0.0002590177596089958
E-55,0.0002590177596089958
RV8,0.0002590177596089958
1900,0.0002590177596089958
F19,0.0002590177596089958
A100,0.0002590177596089958
17-31ATC,0.0002590177596089958
UH-12B,0.0002590177596089958
A150K,0.0002590177596089958
300,0.0002590177596089958
A23-19,0.0002590177596089958
RV-7A,0.0002590177596089958
A1,0.00024775611788686554
415,0.00024775611788686554
