Air.carrier,proportion
Avianca,0.0002402691013935608
Civil Air Patrol,0.0002402691013935608
Emirates,0.0002402691013935608
SKYPARK INC,0.0002402691013935608
Mountain Air Cargo,0.0002402691013935608
SkyWest Airlines,0.0002402691013935608
SHUTTLE AMERICA CORP,0.0002402691013935608
UNITED PARCEL SERVICE CO,0.0002402691013935608
KENT STATE UNIVERSITY,0.0002402691013935608
Grand Canyon Airlines,0.0002402691013935608
VAN WAGNER AERIAL MEDIA LLC,0.0002402691013935608
(dba: New Mexico Flying Service),0.0002402691013935608
DOSS AVIATION INC,0.0002402691013935608
US AVIATION GROUP LLC,0.0002402691013935608
WILBUR-ELLIS CO,0.0002402691013935608
BRITISH AIRWAYS PLC,0.0002402691013935608
Compass Airlines,0.0002402691013935608
ADF Airways,0.0002402691013935608
Comair,0.0002402691013935608
UTAH STATE UNIVERSITY,0.0002402691013935608
American Airpower Heritage Flying Museum,0.0002402691013935608
Britt Airways,0.0002402691013935608
Pakistan International Airlines,0.0002402691013935608
CHRISTIANSEN AVIATION INC,0.0002402691013935608
MARTINAIRE AVIATION LLC,0.0002402691013935608
AMERICAN AVIATION INC,0.0002402691013935608
jetBlue Airways,0.0002402691013935608
"Usair, Inc.",0.0002402691013935608
Federal Express Corporation,0.0002402691013935608
Quantum Helicopters,0.00018020182604517058
Shaheen Air International,0.00018020182604517058
Markair Express Inc.,0.00018020182604517058
American Airlines (dba: American Airlines),0.00018020182604517058
"Mesa Airlines, Inc. (dba: United Express)",0.00018020182604517058
"Southwest Airlines, Inc.",0.00018020182604517058
"Mesaba Aviation, Inc.",0.00018020182604517058
China Eastern Airlines,0.00018020182604517058
Yute Air Alaska,0.00018020182604517058
Air Wisconsin (dba: United Express),0.00018020182604517058
"Skywest Airlines, Inc.",0.00018020182604517058
"Markair, Inc.",0.00018020182604517058
Arctic Circle Air Service Inc.,0.00018020182604517058
Business Express Airlines,0.00018020182604517058
(dba: Twa),0.00018020182604517058
Wayman Aviation Academy,0.00018020182604517058
"American Airlines, Inc",0.00018020182604517058
"Air Sunshine, Inc.",0.00018020182604517058
Westwind Helicopters,0.00018020182604517058
USDA APHIS WS ATOC,0.00018020182604517058
MERCY FLIGHT INC,0.00018020182604517058
HAGELAND AVIATION SERVICES INC,0.00018020182604517058
Navy Annapolis Flight Center,0.00018020182604517058
Atlantic Southeast Airlines,0.00018020182604517058
OLYMPIC AIR INC,0.00018020182604517058
