latitude,longitude
431433N,1232135W
048172N,1152925W
472857N,1112214W
333416N,0117742W
613417N,0149583W
612459N,1493026W
353241N,0098406W
451049N,0003330E
332618N,1182959W
035254N,0110459W
322113N,0097261W
381324N,0853929W
621914N,0150537W
344959N,0921514W
381052N,0923929W
461730N,0011850W
425428N,1062751W
034500N,0112350W
041018N,1212650W
042574N,1171655W
045501N,1082821W
471829N,0119310W
334843N,1121512W
452420N,0115290W
425659N,0852849W
345356N,1202727W
414640N,0805414W
465810N,1225410W
444245N,0100544W
413610N,0082415W
044382N,0088125W
433316N,0845843W
041260N,0082398W
402220N,0083498W
041445N,0881212W
043549N,0123041W
333137N,1121742W
394458N,0991912W
041290N,0080260W
003565N,1182538W
435531N,1185720W
425251N,0853122W
315534N,1115323W
038832N,0782717W
014339N,0087132W
103611N,0665926W
040150N,0086155W
394532N,0852756W
424555N,0096564W
391448N,0842320W
042940N,1202356W
454824N,1095854W
322434N,0111136W
341550N,1165122W
038616N,1095147W
402959N,1064222W
391936N,0853121W
032739N,0081127W
281714N,0081268W
040514N,0075054W
047831N,1191416W
048937N,0122932W
391120N,0833220W
045317N,0072331W
036322N,0078470W
033354N,0011771W
047164N,1223441W
452543N,1225632W
353210N,1131432W
461915N,0112412W
422630N,0084359W
352935N,0864816W
275359N,0812719W
004512N,0079138W
393940N,0741820W
352542N,0774827W
294012N,0095348W
324856N,0117822W
029385N,0974910W
062320N,0153370W
403416N,1222416W
392847N,1194421W
003872N,0118025W
393413N,1223615W
085756N,0793224W
035037N,0904650W
453258N,0122245W
371642N,0110340W
434849N,0011586W
381546N,1215539W
029320N,0805656W
038509N,0951134W
004157N,0744413W
042200N,0118200W
291233N,0994649W
044540N,0121121W
413832N,0913335W
611113N,1495755W
059285N,0161475W
040036N,0010525W
295017N,0955658W
341544N,0911827W
004186N,0100912W
404110N,0761237W
384211N,0090341W
041479N,0087459W
283720N,0080508W
391918N,0078540W
413110N,0883620W
465310N,1024658W
444036N,0745654W
431052N,0775456W
353837N,0772259W
040447N,0083423W
403249N,0864053W
421843N,0085158W
032202N,0901312W
303751N,0953350W
054550N,0008210E
275939N,0082054W
036533N,0792617W
411959N,0083940W
403710N,1115934W
451159N,1235744W
351414N,1203833W
334646N,0811427W
324310N,0824314W
035527N,0822030W
413157N,0711653W
293931N,0814120W
003097N,0951911W
382436N,0961123W
293616N,0095919W
028575N,0098317W
372724N,0122632W
028123N,0822112W
033259N,0971356W
411629N,0011125W
332211N,0815752W
434130N,1165625W
034649N,1183825W
004012N,0105447W
324921N,0962120W
351625N,0782645W
454431N,0092740W
254759N,0792013W
415517N,0712945W
334810N,0784326W
394353N,1234926W
505357N,0042913E
039410N,0084150W
424126N,0881817W
475735N,0971057W
411145N,0112043W
030138N,0962228W
382034N,0981336W
004910N,0001260E
292622N,0962918W
003658N,0090449W
341236N,0092123W
374018N,0097440W
292848N,0982647W
035828N,0982837W
341155N,0964028W
371030N,0093744W
291013N,0821316W
605718N,0149718W
061120N,0149500W
621914N,0150537W
040520N,0074168W
061122N,0149507W
644855N,1473135W
061128N,0149507W
283150N,0972724W
046400N,0122580W
341545N,1165211W
331334N,1172715W
615550N,1502243W
425127N,1152221W
029321N,0982811W
355740N,0952031W
294012N,0095354W
036148N,0106245W
594514N,1545440W
381350N,1124031W
002971N,0083529W
391912N,0120822W
403342N,0081438W
,
471240N,0933035W
041035N,1212813W
041501N,0892646W
421352N,0713150W
003464N,0084940W
033375N,0114430W
425843N,0008885W
472735N,0923226W
412117N,0112023W
392211N,0091139W
401636N,0094026W
038824N,0098254W
433318N,0694912W
385031N,0094449W
019122N,1553616W
062450N,0151500W
443828N,0881255W
412816N,0086275W
474918N,0924126W
402815N,0812511W
046370N,0098400W
391243N,0821345W
045450N,0873713W
411240N,0080589W
061316N,0147191W
292115N,0822822W
275436N,0824114W
384510N,1094510W
374924N,1213720W
472914N,1224532W
044540N,0121120W
353016N,1191149W
355213N,0110366W
373639N,1222247W
431220N,0733432W
037380N,0851418W
002604N,0801444W
392126N,0007552W
393534N,0002426E
414019N,0701614W
001845N,0067457W
582118N,1343435W
445014N,1174833W
032570N,0116580W
415154N,0077519W
452216N,1174849W
394524N,1194659W
293230N,0096910W
613512N,0149145W
485847N,0123444W
612458N,1493030W
414726N,1115116W
472023N,1201859W
361550N,1153925W
034568N,1043833W
391423N,0955320W
029495N,0954021W
441921N,1061540W
351123N,1122817W
364634N,0119435W
374943N,1213733W
273920N,0080255W
361034N,0824024W
040451N,0735958W
472733N,1221855W
034233N,1184851W
465459N,0114526W
017400S,0142590E
034218S,1504112E
305447N,0875849W
611614N,1494723W
413128N,0071174W
284636N,0081147W
271444N,0812447W
044340N,0068444W
045759N,1151918W
365534N,1112654W
393850N,0110438W
383349N,0774458W
401434N,0112535W
443014N,0123335W
481758N,1163337W
383019N,1224828W
412621N,0009733W
373342N,1215418W
301535N,0911710W
391610N,0745158W
391329N,1043824W
343640N,1204351W
335413N,0872015W
252957N,0803325W
334034N,0086522W
393454N,1202114W
374316N,1221314W
044311N,0074157W
322530N,0091824W
275739N,0803330W
036416N,1013027W
311145N,0084414W
025492N,0813842W
284914N,0814819W
040511N,0074333W
040513N,0074336W
271635N,0080511W
291525N,0096925W
295332N,0975141W
332326N,0805440W
038555N,0893920W
445759N,0922316W
038518N,1212120W
411826N,1054018W
481012N,0114186W
033499N,0784014W
038344N,0122260W
034157N,1185045W
454021N,1213211W
413927N,0074438W
394612N,0093045W
395538N,0741732W
031458N,0993323W
035123N,0111383W
035030N,0893327W
411530N,0725348W
303822N,0962817W
363733N,0931415W
009438S,0704220W
332757N,0964022W
039144N,0084232W
365340N,0076124W
046270N,0951223W
602848N,0015140W
335942N,0802141W
033285N,1114342W
605242N,0152454W
434420N,0111531W
434759N,0123144W
,
324933N,0117822W
046352N,0122581W
375125N,1201024W
441227N,0116582W
046753N,1092230W
402628N,1093036W
445320N,0011667W
461318N,0116122W
435221N,0121277W
026024N,0801426W
291047N,0081329W
403012N,0754713W
041138N,0801345W
351250N,0805635W
040737N,0761652W
375134N,0765338W
034031N,0843743W
383132N,0775135W
433014N,1141744W
414619N,0882832W
404612N,0874352W
037119N,0088452W
412739N,0832834W
322247N,0962257W
042411N,0701310W
252222N,0082952W
361438N,0921425W
302123N,0095028W
037515N,0010178W
038525N,0094352W
284823N,0082194W
402854N,1112543W
034444N,1174550W
334740N,0118310W
474240N,1212020W
422058N,0008991W
,
006596N,1581230W
,
,
015500N,0152830E
334011N,0821412W
405642N,0090635W
292137N,0985457W
252342N,1005841W
038622N,0924048W
042145N,0087541W
,
413110N,0883620W
039030N,0745429W
345423N,0783423W
395142N,1044023W
385811N,1044847W
040949N,0105947W
032214N,0097012W
394651N,1012213W
332924N,0842944W
401136N,0074212W
343325N,0834249W
442535N,0702016W
048186N,0122633W
393658N,1104546W
404718N,1115840W
032949N,0954942W
644645N,1495748W
594514N,1545440W
048939N,0122932W
355615N,0103658W
047232N,0109280W
029324N,0982726W
471550N,1231959W
041647N,1093924W
371958N,1214911W
003500N,0009150W
292018N,0098512W
315959N,1102128W
322611N,0009717W
032591N,0911213W
029380N,0095370W
033444N,0117135W
525432N,0110412W
302025N,0853724W
035300N,0099120W
026252S,0120345E
