latitude,longitude
285823N,0883734W
034530N,1174654W
343218N,0112286W
645359N,0149102W
055424N,0511444E
033110N,0842218W
041199N,0723142W
421331N,0853254W
334512N,0112357W
365923N,0915715W
385015N,0092032W
414646N,0874233W
037853N,1131813W
344252N,0087922W
037846N,1064940W
,
452238N,0781753W
291915N,0982815W
272344N,0823316W
,
325030N,0096510W
040436N,1234914W
274554N,0823737W
394627N,0104182W
302045N,0971224W
033500N,0116300W
029381N,0953929W
344542N,1064441W
321835N,0107340W
275456N,0822658W
351016N,0120311W
232152S,0525417W
039441N,0773327W
263848N,0801742W
038567N,0092413W
323323N,1144124W
045128N,1041332W
344914N,0087238W
384820N,0104422W
325138N,0081342W
414122N,0725153W
041574N,0086225W
321328N,0804151W
312829N,0971913W
035712N,0891424W
025174N,0761953W
154723S,0403346W
405128N,1115526W
032587N,0965011W
,
051617N,0745211E
332739N,1114342W
036386N,0931330W
475214N,1215248W
273054N,0815250W
,
365547N,0931645W
261814N,0009893W
,
411135N,0743740W
034340N,0114210W
004778N,1221653W
605235N,0015257W
040277N,0105041W
391049N,0771050W
391458N,0000859W
455541N,0894351W
043824N,0892024W
042445N,0714134W
411219N,0895750W
423156N,0107565W
065412S,0391024E
026441S,0274332E
035102N,0107547W
415659N,0086220W
444310N,0932550W
521218N,0001030E
395040N,0894040W
444324N,1065843W
,
273920N,0080255W
304650N,0831647W
040437N,0114143W
031844N,0812318W
038370N,0773733W
037135N,0931557W
313628N,0891152W
293719N,0953925W
047363N,1141237W
381950N,1113258W
383413N,0090918W
391031N,0076406W
202148S,0542926E
511953N,0000158E
082010S,1173251E
012153N,1252130E
323654N,0963233W
,
,
192039N,0904324W
038036N,0122300W
334525N,1171318W
031592N,1023141W
383045N,1224852W
431050N,0071500W
040446N,0104483W
032260N,0934930W
,
294326N,0098274W
015713N,1454348E
,
,
255736N,0801414W
,
382418N,1204731W
375736N,0774347W
425812N,0822510W
065921N,0073245W
361057N,0865312W
393630N,0077028W
026360N,0080512W
,
,
413114N,0825219W
029324N,0982814W
355442N,0079374W
643044N,1652643W
393543N,1044934W
331714N,1043221W
272950N,0802221W
361035N,0011578W
342759N,1051750W
315722N,1102434W
322624N,1141648W
351414N,1203827W
003721N,0088108W
181235N,0661738W
303135N,0982133W
043933S,1475056E
383442N,0122268W
364315N,0119493W
344836N,0111480W
033538N,0945315W
243322N,0814619W
,
254126N,0079935W
462113N,0872347W
040647N,0851433W
354312N,0081824W
294339N,0085133W
030473N,0098360W
364649N,0076283W
331828N,1113920W
044927N,0702853W
341221N,1182914W
182724N,0066554W
382237N,1204738W
404635N,1122933W
053541N,0001014E
395929N,1043536W
441710N,1205411W
034122N,0864817W
235157S,0046941W
029223N,0805343W
,
373343N,0823359W
403838N,0855412W
422738N,0071314W
272723N,0812033W
021817N,0156491W
323252N,0834937W
231019S,0053541W
372146N,1215545W
301159N,0952835W
035547N,0120349W
374448N,0099583W
414221N,0853647W
441447N,0028360E
353656N,0106530W
325453N,0855746W
081155S,0451354W
463612N,0112038W
515230N,0002225E
425714N,0852038W
495322N,0089350E
041131N,0802448W
424434N,0086628W
063438N,0031916E
345816N,0914953W
144552N,0425855E
353132N,1154340W
,
405528N,0883726W
028116N,0082240W
061114N,1495749W
,
392649N,1014811W
151519S,0475758W
038140N,0091519W
021331S,0008038W
424653N,0713051W
030373N,0812827W
445917N,0903139W
,
036222N,0955910W
401757N,1064017W
205214N,1562659W
392352N,0119167W
021285N,1581844W
473838N,1225219W
,
,
040633N,1034547W
361124N,1192226W
034318N,1172754W
040056N,0105258W
335729N,0963521W
039450N,1083333W
393749N,0009318W
472235N,0084528E
263535N,0008056W
034505N,0921531W
045467N,1224312W
,
283118N,0964754W
613141N,1494117W
461429N,0006511E
324035N,0115257W
304653N,0831634W
613458N,0149514W
002941N,0081171W
333236N,0101508W
452644N,0091641E
037830N,0785810W
045200N,0123100W
304052N,0974045W
285036N,0813748W
033512N,0971159W
038410N,0078422W
322050N,1023212W
028411N,0082927W
033291N,1013940W
354342N,1182511W
035825N,0111409W
393834N,1065457W
003959N,0076469W
472530N,1225229W
274856N,0802811W
,
181318N,0663522W
391136N,1194416W
029594N,0952029W
361016N,0794834W
253755N,0802850W
402030N,1043333W
404919N,0072521W
435924N,0753746W
,
,
274848N,0802944W
003920S,0174120E
502938N,0014853E
041337N,1115816W
373937N,0122813W
030335S,0513337W
062323N,0145159W
373630N,0099656W
393412N,1045058W
,
,
414715N,0087458W
373033N,1221447W
471334N,1173717W
223632N,1535035W
,
044542N,1205636W
415818N,0087547W
,
045128S,1683430E
181731N,0671333W
033298N,1014846W
047746N,1231352W
003700N,0011800W
473928N,1172340W
462557N,1082713W
453710N,0121106W
625116N,0015338E
262849S,0271954E
364456N,0006328W
003800N,0009000W
,
035262N,0119328W
341250N,0119527W
003820N,0843620W
041417N,0875046W
293349N,0984310W
334119N,0112455W
039115N,0076402W
028300N,0091180W
,
283334N,0992436W
,
222548S,0461722W
355344N,0833443W
,
362734N,1191127W
412154N,0086181W
431536N,0833936W
272612N,0812028W
255916N,0814016W
263113N,0801320W
039737N,0943557W
,
034543N,0117146W
301551N,0814215W
283142N,0814316W
043294N,0971430W
343055N,1174543W
402615N,0104380W
004632N,0143412E
365435N,0761144W
572643N,0123856E
027335N,0822052W
404642N,0735211W
034052N,0118274W
381139N,1214145W
003454N,0117828W
373642N,0098379W
362216N,0821025W
383720N,0090141W
033544N,0893336W
037350N,0120230W
033258N,0971734W
,
323823N,1103910W
355612N,0954859W
355239N,0862239W
385735N,0942217W
182733N,0066454W
037840N,1131816W
034241N,0098162W
263512N,0815148W
373019N,0771911W
391411N,1193311W
612436N,1483249W
311454N,0822343W
413157N,0711654W
431021N,0861342W
034648N,1174056W
602154N,0146112W
323859N,1143656W
031529N,0095132W
395913N,0095842W
035220N,0095480W
611343N,1505215W
621042N,1501029W
035131N,0803643W
027490N,0812256W
415912N,0875352W
032305N,0084812W
341546N,0435500E
038638N,0924050W
424228N,1105631W
273955N,0822710W
,
039437N,0764941W
423513N,0893010W
,
031577N,1055822W
,
482656N,1115819W
,
021747S,0078657W
003300N,0008400W
303643N,0812740W
412445N,0078309W
303157N,0091258W
292111N,0991021W
345119S,0055539W
040219N,1051347W
315633N,0102127W
283325N,0812321W
037530N,1133534W
315440N,0011174W
,
344958N,0111481W
384358N,0894824W
035825N,0111409W
342711N,0093218W
383229N,0076157W
455955N,0080483E
283946N,0815257W
033452N,1121546W
,
011029S,0701626W
401944N,0823132W
361018N,0794818W
301227N,1031436W
284923N,0821822W
341234N,0119432W
036163N,0953751W
042837N,0092835W
004300N,0008300W
,
,
033221N,1165453W
462654N,1111352W
301553N,0082568W
046435N,0942234W
395647N,0865537W
354215N,0793015W
038155N,0078214W
332446N,0102913W
004092N,0122158W
335015N,0964858W
040524N,0112712W
423511N,1093341W
038113N,0099322W
039592N,0753529W
331314N,0873641W
441514N,0012190W
030404N,0089541W
402646N,1093039W
033339N,1022221W
036510N,1202736W
463253N,0872349W
041243N,0815612W
032648N,1105621W
334723N,0118333W
049127N,0132957E
612343N,1495027W
344357N,0083443W
415049N,1115714W
003958N,0764555W
272950N,0802020W
311510N,1303759E
381213N,0944425W
384751N,0076419W
354110N,0914613W
381423N,1223442W
041215N,0081280W
303115N,0010483W
043648N,0089320W
,
,
,
323138N,0861952W
403413N,0752918W
345428N,1203056W
613548N,0149517W
393132N,1194834W
345034N,0087564W
401754N,0743114W
363533N,0862837W
,
664539N,0144239W
382850N,0943628W
402946N,0088525W
038308N,0761018W
333538N,1122516W
262149S,0694041W
021357S,0552021E
443538N,0114496W
344051N,1121749W
671247N,1512554W
395942N,0863237W
026126N,0801039W
452038N,1225247W
004500N,0091231W
395830N,0813439W
064934N,0732134W
354112N,0845321W
351923N,1063343W
343613N,0852726W
194329N,0155312W
343551N,1172259W
302333N,1045813E
040944N,0105939W
026357N,0815128W
041321N,0722139W
521829N,0044551E
000316N,0781314W
604226N,0148613W
034621N,0842654W
345236N,1184946W
,
254743N,0801724W
425516N,0783539W
021194N,1575513W
405521N,0894044W
334055N,0116161W
315119N,0893122W
031100N,0944730W
301722N,0874018W
345326N,0082134W
403019N,1221722W
264358N,0815350W
393133N,1074341W
042270N,0915652W
034503N,0097280W
035103N,0086357W
283053N,0804757W
275935N,0815921W
345028N,0903138W
373318N,0972039W
053944S,0041245W
595849N,1545022W
018342N,0682148W
002699N,0814632W
412425N,0743156W
335533N,0971747W
032137N,0981052W
041320N,0711655W
049256N,0131919E
274848N,0802944W
037936N,0932547W
342256N,0825644W
325958N,0085344W
301434N,0924025W
,
433351N,1161331W
282546N,0811832W
275741N,0824338W
044132N,1225845W
462259N,1124537W
492523N,0123019W
331032N,0861732W
301432N,0974722W
025939N,0173190E
464542N,0123056W
643041N,1652325W
033621N,0883323W
302011N,0813052W
354148N,0083324W
036534N,0915410W
333639S,0018630E
385645N,1043412W
371228N,0104309W
341222N,1182923W
372139N,0851821W
030143N,0097958W
413427N,0751521W
344032N,0902045W
433157N,0121570W
412441N,0783026W
042381N,0007734W
434815N,0123155W
351315N,0862559W
013292N,1444757E
324438N,0963152W
030445N,0934741W
,
303423N,0972511W
029311N,0951419W
405151N,0852812W
443431N,0903024W
435341N,0085175W
,
030297N,0092362W
391132N,1194357W
035552N,1055759W
345841N,0010600W
,
354918N,0813638W
325019N,0823729W
613652N,1493955W
332615N,1115938W
041562N,0884220W
003457N,0117847W
475711N,1172533W
341543N,1182458W
040514N,0007445W
332139N,0971012W
533015N,0050911E
047419N,1171937W
335328N,0841622W
291048N,0081329W
382923N,1002847W
295936N,0901533W
485233N,0118756W
322546N,0983726W
351331N,0825151W
471243N,1195034W
383944N,0090397W
433833N,1115546W
332245N,0955614W
361717N,0785858W
382446N,0901324W
445546N,0693111W
375016N,0282240E
037755N,0762935W
425428N,0771920W
034303N,0833318W
391334N,1221314W
434535N,0118518W
352229N,0861428W
611114N,1495757W
335232N,0084187W
353226N,0784451W
384444S,0614750W
424743N,0705022W
294845N,0982459W
040050N,1222025W
003570N,1143821W
361946N,0834932W
362229N,0090958W
042451N,0009327E
324953N,1165857W
,
040712N,0761724W
362043N,0094138W
431048N,0855621W
371944N,0972318W
038422N,0774914W
372012N,0107524W
365621N,0081462W
284813N,0082196W
402357N,0743956W
622658N,1494722W
385556N,0902552W
003600N,0008300W
355213N,0981152W
342211N,0081449W
282332N,0965336W
,
,
354328N,1081158W
035346N,0815330W
372321N,0831436W
404354N,0007470W
033737N,1171642W
,
033111N,0842243W
046156N,0114732W
004425N,0074849W
443159N,0723649W
374053N,0121595W
335651N,0081944W
333812N,0842540W
375852N,1014457W
593852N,1512812W
314612N,0975548W
060747N,1492458W
045393N,0952320W
038427N,0883215W
,
041122N,0743722W
462547N,0119118W
004768N,0122178W
465022N,0097112W
385641N,0764623W
037522N,1221421W
353633N,1192611W
072026S,0544914W
,
374755N,0904614W
,
474128N,1142238W
006000N,0015400W
039721N,1083136W
464123N,0092541W
613558N,0149515W
364357N,1194915W
412039N,0821040W
028625N,0803935W
404510N,0824328W
413056N,0075156W
253835N,0802559W
413753N,0734539W
,
030419N,0009515W
342848N,1015512W
442938N,1004446W
034956N,1014256W
393346N,0761218W
036126N,0080312W
601957N,0161316W
037825N,1131822W
621929N,0150521W
000000N,0011700E
032167N,0914153W
252837S,0148713E
046300N,0104480W
030811N,0854313W
,
036123N,0086199W
061425N,1505610W
384410N,0011261W
374315N,1214536W
333111N,0983922W
314231N,0874637W
333519N,1143958W
424921N,0852929W
,
435933N,0883245W
354150N,0793030W
405116N,0775025W
303137N,0982132W
465058N,0995432W
411050N,0104336W
261327N,0973925W
036448N,1194925W
,
402325N,0008690W
341836N,0112712W
452111N,0117382W
352852N,1055122W
463616N,1175232W
523249N,0064835E
393829N,1065415W
364259N,0010480W
424816N,0135647E
415621N,0072410W
,
333122N,1121726W
334944N,1163025W
,
394045N,0119520W
035503N,0953957W
062559N,1453148W
036141N,0904336W
325843N,0932433W
454920N,0162949E
365356N,0893342W
043500N,1012950W
004509N,0934018W
,
030223N,0103411W
275436N,0824115W
335814N,1124742W
029374N,0922112W
041236N,0704838W
026449N,0008137W
571340N,1224224W
615758N,1511115W
038739N,0914610W
035712N,0119712W
344246N,0913147W
035599N,0803042W
195113S,0435551W
475329N,0122173W
,
621918N,0150538W
324550N,0952330W
044624N,1022053W
425519N,0783647W
404621N,0802329W
401121N,1003659W
372352N,0921230W
475437N,0122178W
038442N,0912613W
322648N,0111010W
030143N,0098549W
383039N,1212921W
,
042586N,0704942W
384518N,1094517W
004500N,0011100W
421626N,0973952W
401718N,0763453W
031119N,1044917W
444635N,0914431W
354954N,0903847W
,
423346N,0092247W
333332N,0861457W
006261N,1453145W
602831N,0151228W
046522N,1181917W
435230N,1212713W
413115N,0762744W
016315S,1292342E
413626N,0088515W
381757N,1043014W
331648N,0844610W
004300N,0007100W
043427N,0755556W
302020N,0921533W
415554N,0724359W
445420N,1152915W
323217N,0934447W
362812N,0105379W
003513N,0803719W
474219N,1141130W
451714N,0118014W
363932N,1214227W
342817N,0773612W
042855N,0883343W
334922N,0118831W
374856N,1114950W
362547N,0120611W
413514N,0834845W
344916N,1192428W
434611N,0087516W
431215N,0713018W
355843N,0114505W
042144N,1213554W
048428N,1131425W
185521S,0472329W
433452N,1163122W
005442N,0765940W
039321N,0891925W
275358N,0824112W
324646N,1031320W
295733N,0812023W
435352N,1165924W
203259S,0432931W
552723N,0131846W
404929N,0072453W
382129N,0963238W
043421N,0923639W
405438N,0008100W
,
,
394336N,0941645W
334920N,1172748W
042111N,0712149W
393631N,0077029W
412659N,0081347W
432953N,0162631E
611255N,1495020W
425124N,0834311W
481027N,1033758W
425426N,1062914W
003536N,0932329W
043311N,0112412W
032392N,0963223W
345134N,0863327W
194120N,1555152W
042257N,0954235W
,
471042N,1195230W
444435N,0853516W
048150N,1223919W
038837N,1223322W
,
381142N,1214231W
211826N,0158413W
321816N,0902438W
402114N,0795528W
461433N,0117452W
404711N,1115824W
325653N,0096534W
291057N,0096370W
434657N,1134655W
451525N,0932040W
404459N,0111544W
033451N,0842325W
029377N,0962439W
284122N,0901956W
451945N,0123411W
402641N,1093041W
382025N,0753034W
039347N,0106446W
061308N,1493540W
431349N,1133550W
364621N,0804917W
415745N,0088107W
335830N,1173812W
044559N,0123026W
275234N,0971811W
030119N,0952651W
395832N,0865511W
611835N,1483148W
383345N,0943731W
061438N,1494948W
401444N,1113951W
037350N,0109290W
038180N,0107542W
043594N,0883431W
042380N,0007440W
295821N,0095274W
331724N,0975010W
057460N,0028230E
291555N,0945137W
033939N,0795928W
482955N,1223945W
405639N,0902549W
333914N,1014944W
042547N,0083936W
042330N,1143112W
384150N,1044334W
341848N,0975947W
363650N,0922359W
371211N,0107529W
581142N,1362050W
412645N,1064915W
395855N,0744134W
047439N,0101757E
335559N,0078417W
005270N,0023530E
323748N,1072136W
392418N,0119157W
305425N,0092399W
352414N,0843332W
,
045479N,0111949W
472952N,1221257W
413030N,0074164W
334111N,0112434W
039155N,0841621W
351836N,0853112W
394150N,0741553W
445126N,0093158W
293931N,0814118W
582124N,1343449W
,
432049N,0882322W
042626N,0072213W
324421S,1512537E
038321N,0971635W
032585N,0965010W
424129N,0881816W
433832N,1163810W
383417N,0090935W
304657N,0983943W
483116N,1204448W
285423N,0953615W
423547N,1144747W
028506N,0813743W
,
445342N,0974238W
341628N,0784247W
271144N,0815014W
034161N,1095956W
423057N,0791533W
442930N,0011600W
043154N,0781011W
485954N,1181318W
484122N,1215813W
425642N,0784418W
422138N,0071338W
030411N,0098251W
058207N,0013541W
305238N,0842555W
365833N,0084156W
035560N,0011580W
443621N,0109259W
373439N,0844610W
036415N,0914949W
383358N,1105725W
621938N,0150168W
424740N,0111049W
341616N,0775410W
040373N,0741440W
361025N,0794811W
004636N,0118524W
304120N,0095119W
045829N,0931236W
621048N,1595027W
474041N,0115569W
040621N,0761635W
275332N,0813643W
435929N,0883255W
385920N,1072054W
414530N,0914316W
022859S,0078101W
353338N,0076144W
004501N,1001649W
036234N,0971622W
613654N,0149378W
060171N,1522729W
033710N,0094950W
324128N,0944220W
062271N,1494722W
373143N,0106245W
384812N,1223429W
615550N,1514351W
412515N,0076324W
182859N,0662051W
,
035713N,0077475W
038426N,0785658W
335640N,0117261W
423453N,0088042W
033485N,0962757W
344554N,0088955W
031571N,0085745W
361223N,1151124W
034844N,1032439W
052659N,0073231W
335351N,1173557W
413336N,0083280W
005930N,1583453W
382052N,0932043W
,
441642N,1051220W
,
542824N,1644948W
451514N,0922751W
034135N,0094915W
421010N,0933828W
051355N,0104317E
402321N,0751726W
413736N,0073533W
384319N,0815741W
381123N,0901426W
292013N,0982816W
044418N,0961126W
261146N,0080105W
043644N,0088222W
424052N,0072257W
033152N,1071737W
175224S,0505619W
444352N,0944242W
060236N,0166168W
026418N,0080534W
521050N,0093125W
555511N,1592923W
032832N,1111028W
041418N,0721936W
354016N,1393137E
405911N,0755913W
544337N,1111544W
464329N,0092249W
,
,
013292N,1444749E
033826N,0953638W
362024N,1193926W
342026N,0119048W
391826N,0096323W
391027N,0764017W
033456N,0912739W
451048N,1224437W
047180N,0011470W
345214N,1181220W
039242N,0853613W
041581N,0875339W
043957N,0884310W
381342N,0842611W
302434N,0842111W
402533N,0076221W
415829N,1143928W
424652N,0861236W
041481N,1114514W
039231N,0012221W
,
036267N,0795047W
344510N,0825935W
039310N,0895234W
030104N,0973824W
301538N,0088740W
395142N,1044023W
315315N,0087321W
253851N,0080260W
053626N,0019314E
,
472146N,0091932E
035124N,1064038W
412440N,0895824W
365710N,1212750W
040848N,1114019W
343739N,0843137W
048261N,0114256W
452348N,0115290W
442412N,0741213W
414926N,0755240W
484716N,1223231W
343840N,1193220W
424220N,0113540W
612545N,1493337W
335322N,1181444W
452528N,0845358W
373439N,0844610W
045543N,0074231W
042485N,0972442W
244348N,0081436W
,
282825N,0822720W
424517N,0941155W
375648N,0795036W
002800N,0008100W
283721N,0080507W
412648N,0722727W
284226N,0813454W
044195N,0089587W
,
373356N,0883836W
334413N,0081497W
424352N,0088642W
040823N,1012141W
143631N,0009284W
453619N,0087925W
032125N,0102555W
046915N,0891243W
032514N,0863629W
285810N,0815330W
655149N,0185611W
464421N,0093555W
321423N,0951055W
342536N,0103439W
322738N,0974235W
385336N,0120015W
293117N,0951432W
,
031492N,0973410W
045737N,0772147W
,
434444N,0111537W
,
173533N,0631535W
323648N,1165733W
063314N,0032441E
403413N,0752918W
485545N,1191711W
037389N,0130410W
405148N,0741659W
035188N,0107924W
035327N,0772748W
384438N,0773257W
323439N,1165656W
404517N,0073304W
292611N,0825644W
062180N,1514123W
675837N,0149459W
026952N,0981357W
433831N,0116389W
025945S,0572729W
321641N,1065420W
394543N,0093048W
334512N,1121521W
374013N,0098733W
392652N,0080103W
365534N,1112654W
040732N,0076621W
432514N,0825239W
343234N,0784641W
354851N,0791440W
351249N,0805657W
,
046511N,0021853E
401944N,0823135W
312257N,1033039W
412214N,0732859W
036179N,1152018W
384639N,0084013W
048172N,1152925W
034020N,0011834W
057730N,0121343E
451949N,1194647W
294247N,0974635W
343913N,1122510W
035949N,0911325W
373546N,0932053W
463919N,1113331W
029049N,0089935W
432155N,0092759W
384421S,0176417E
041326N,0852231W
442018N,0118636W
462027N,0605850W
401357N,0853815W
331315N,0924848W
031319N,0973349W
374318N,1221318W
182612N,0661641W
481043N,1141813W
030643N,0096217W
060234N,1523532W
,
601820N,1512245W
422533N,0945742W
332739N,1114342W
,
041227N,0732929W
040210N,0088597W
423956N,0832513W
363257N,0009501W
491120N,0122532W
,
312052N,0922636W
283129N,0804542W
474715N,0995610W
395032N,0835019W
,
441730N,0009691W
004663N,0674816W
373043N,1221458W
033101N,0864641W
421841N,0851443W
404730N,0073612W
402234N,1203418W
341156N,0092013W
264815N,0080159W
022250N,0074500W
425519N,0783643W
304358N,0008693W
342859N,0117509W
413440N,0881023W
333722N,1115438W
041304N,0074627W
041550N,1044938W
411424N,0895516W
036558N,0115945W
035822N,0864056W
385818N,0775211W
322732N,0965445W
413049N,0973849W
501124N,0022848E
261150N,0801015W
401259N,0078265W
,
062261N,1512454W
,
282539N,0962719W
391859N,0012085W
395740N,0823227W
294834N,0095408W
381723N,0942025W
,
033056N,1103916W
004502N,0691433W
355452N,0802744W
041348N,0732744W
424318N,1142621W
035566N,0087159W
002952N,0081461W
324946N,1165919W
040569N,0735731W
037384N,0130414W
,
,
,
341534N,1182449W
032649N,1105612W
424845N,0008617W
644918N,1473118W
044554N,0893529W
433623N,0712710W
342120N,0085827W
043566N,0123032W
036125N,0008045W
037035N,0085610W
253848N,0803339W
003655N,0782219W
442236N,1003753W
052154N,0011236W
036459N,0011595W
301433N,0924955W
421446N,0893455W
374543N,1075044W
061116N,0722816W
043935N,1093932W
422738N,0071314W
315429N,0102123W
001282N,0765516E
373730S,0144255E
031058N,0872648W
403720N,0744024W
405123N,0096130W
264434N,0812552W
037386N,0725141W
432348N,1111754W
514042N,0114838E
342035N,0781811W
394639N,0745130W
362657N,0843746W
063470N,0014640W
403235N,0864053W
383422N,0090945W
041948N,0073734W
003918N,0110273W
412949N,0941939W
037614N,0793550W
433158N,0065714E
063325N,0754945W
411553N,1052830W
355448N,0075426W
403135N,1114518W
594640N,0154554W
034163N,0775414W
046467N,0912319W
003955N,0903322W
423837N,1113454W
345621N,1043845W
313210N,0822311W
041358N,0703225W
041372N,0872452W
404751N,0994517W
453710N,0121106W
303519N,0962150W
040200N,0075719W
282826N,0823036W
453223N,0123651W
394847N,0771638W
433049N,0112415W
413534N,0109321W
031746N,0853914W
033501S,0018340E
375130N,1213552W
046256N,0134010W
413553N,0724523W
425423N,0753944W
,
402414N,0753428W
382830N,0855950W
331817N,1113912W
041555N,1012040W
064057N,1454337W
053100N,0168230W
064146N,1464949W
612927N,1622437W
271640N,0821259W
612448N,1483417W
254649N,0801159W
415835N,1143927W
424122N,0902640W
433331N,1161313W
392045N,0077130W
404920N,1154639W
004333N,0735142W
,
,
353439N,0079620W
,
093122S,0035471W
042549N,0704027W
007225S,0522214W
253851N,0080260W
341555N,0110024W
432711N,0824554W
403631N,0794935W
384151N,0964829W
045745N,1151923W
324731N,0841423W
333736N,0116935W
037921N,0801928W
304717N,0943923W
028506N,0813454W
275511N,0824121W
275338N,0813714W
037636N,1063412W
374040N,0972736W
322620N,0974849W
302445N,0096580W
295640N,0090177W
,
332147N,0971034W
532137N,0008318E
341235N,1182924W
403128N,0743554W
029577N,0901710W
048355N,1225026W
392924N,1071759W
384835N,0945729W
361538N,0995120W
453011N,0891147W
063501N,0154465W
263528N,0080455W
068525N,0145360W
472925N,1224553W
621947N,0150512W
037119N,0874030W
405959N,0851234W
039185N,1145019W
035857N,1064629W
432520N,0088741W
362047N,0941310W
282030N,0080418W
442726N,0883340W
414920N,1103327W
372748N,0102375W
,
375430N,0107216W
375429N,0107218W
303957N,1075354E
475923N,1172515W
393335N,0104511W
343554N,0083945W
030457N,0953457W
,
045058N,0007420W
254537N,0076926W
034402N,1064930W
551259N,0160635E
364548N,0096040W
304226N,0951714W
373854N,1131155W
473334N,1215149W
029628N,0985648W
036460N,0089582W
424117N,0103420W
040345N,1222417W
332428N,1182440W
,
036444N,1114510W
003300N,0008400W
006265N,0150434W
363513N,1215035W
304242N,0961943W
043230N,0975854W
294924N,0954031W
035570N,0855116W
031329N,0841112W
385515N,1205153W
312556N,0853418W
335324N,1181438W
621429N,0146044W
554657N,0131406W
,
481659N,1161533W
342635N,0084276W
385433N,0121214W
613519N,1494852W
274459N,0098337W
045120N,0123748W
032744N,0081146W
361236N,0822230W
292035N,0081277W
385157N,1195953W
004137N,0782433W
331537N,0973453W
254724N,0795533W
192913N,0964756W
433420N,1161426W
112514N,0855312E
403358N,1043916W
037037N,1123147W
353845N,0803113W
462849N,0081548E
263659N,0080542W
325050N,0096516W
345510N,0081579W
485050N,0100274W
322434N,0111136W
455018N,1223248W
465459N,0114526W
303118N,0090256W
033646N,0763334W
431324N,0111341W
351122N,1064121W
044469N,1065849W
031575N,0085744W
041958N,0821150W
422741N,1114214W
314533N,0874158W
382143N,0078133W
034659N,1164225W
402942N,0964553W
365015N,0108139W
003585N,0082649W
,
035488N,0885152W
342718S,0583529W
029484N,0944235W
295333N,0975151W
044138N,0935510W
441243N,0711515W
181352S,0055454W
041042N,0951338W
424412N,0825320W
030233N,0090142W
304944N,0094114W
044054N,0074620W
056352N,1533130W
323332N,0964159W
433436N,0096448W
323114N,0941828W
032634N,1105616W
,
475046N,0110383W
331037N,0963520W
,
,
,
334952N,0894740W
402331N,1191248W
411421N,0733447W
325350N,0097216W
353514N,1152749W
039512N,0774858W
421541N,0071529W
343917N,0112259W
395711N,0112241W
003800N,0007700W
,
026332N,0080265W
,
044625N,0088412W
025433N,0080933W
038031N,0098238W
365013N,0108143W
363520N,0118251W
301821N,0883150W
384321N,1204527W
002681S,0281432E
069479N,1483833W
039152N,0973532W
392214N,1014156W
033442N,0117121W
,
384951N,0945325W
,
,
351554N,0093355W
038449N,0121736W
414226N,0734417W
026429N,0080848W
322448N,0994055W
332456N,1124111W
295256N,0095551W
,
,
034163N,0792117W
452027N,0081027E
,
045025N,0123247W
424430N,0078310W
036324N,0941028W
341939N,0092215W
482459N,1215858W
,
403555N,0076815W
029322N,0098289W
403250N,0735517W
042130N,0835621W
292326N,0932646W
061592N,1512450W
058546N,0013599W
343010N,0833332W
035453N,1014521W
351050N,1063526W
,
312759N,1093617W
411735N,0822214W
271227N,0805033W
301426N,0905455W
,
294537N,0952211W
443542N,0122578W
445012N,0123123W
371958N,1214911W
354022N,1203737W
341345S,0014258E
384951N,0104436W
305417N,0842645W
044190N,0073150W
454322N,0087537W
431915N,0784345W
041823N,0752236W
041317N,0812525W
391925N,0935759W
174615S,0047552W
073131S,0046312W
463218N,0252717E
038353N,0774230W
041818N,0027559E
362548N,0812512W
344010N,1182825W
253911N,0802555W
354913N,0813641W
332723N,0111440W
033742N,1171648W
030710N,1033759W
,
003500N,0010600W
473331N,0935159W
045359N,1223632W
444246N,0883257W
033738N,1171648W
011742N,0844014W
034530N,1174654W
036943N,1201742W
028346N,0081457W
051052N,0003626W
042437N,0084344W
352919N,0011500W
,
335247N,0841755W
343557N,1171126W
354845N,0835916W
283112N,0812416W
411929N,0733814W
413136N,0854736W
035415N,0803359W
031575N,0085744W
003957N,0764534W
083020N,0771624W
402615N,0104380W
115254N,0086645W
083029S,0351033W
,
040615N,0104427W
212456S,0043216W
393630N,0077027W
162758S,0544243W
,
335841N,0835745W
395251N,0751511W
047852N,0124419W
424455N,0734820W
401453N,0103556W
354540N,0814326W
335751N,1124834W
402253N,1011237W
403632N,0724735E
,
,
465543N,0014260E
383747N,0901426W
391015N,0771010W
255350N,0080521W
064240N,1512436W
030240N,0862817W
002760N,0082260W
,
373116N,0764631W
445741N,0924441W
435020N,0090816W
033249N,1182513W
284637N,0081146W
412217N,0732856W
534640N,0003440W
385058N,0753646W
301424N,0665624E
035111N,0791128W
414951N,0874051W
401056N,0795436W
393413N,1044919W
343419N,0117116W
393231N,0925356W
423953N,0083266W
374857N,0855753W
371456N,0982824W
414137N,0802529W
032957N,0852336W
373727N,1185020W
,
,
039224N,0075420W
029631N,0952743W
,
040833N,0094227W
393336N,0783712W
037384N,0130410W
005294N,0065843W
262243N,0080627W
,
334953N,1163033W
037448N,1131236W
265045N,0801321W
354025N,0119320W
394850N,0079327W
411732N,0095522W
004505N,0925043W
472937N,1111653W
255618S,0275519E
413946N,0074428W
345924N,0784947W
032273N,0993854W
355640N,0812924W
038191N,0763331W
351327N,0084355W
312731N,0087212W
513631N,0090935W
034394N,1114715W
335331N,0117365W
342031S,0020815E
